id,week,center_id,meal_id,checkout_price,base_price,emailer_for_promotion,homepage_featured,num_orders,Quantity_Prepared,Service_Type,Day_Type,Meal_Time,Customers_Count,Wastage
1000034,90,186,2581,486.03,641.23,0,0,109,115.73,Dine-in,Weekend,Dinner,112,6.73
1000036,4,81,1558,611.13,612.13,0,0,136,166.99,Delivery,Weekday,Dinner,129,24.79
1000037,109,93,2704,245.47,244.47,0,0,150,172.05,Buffet,Weekday,Dinner,160,26.46
1000038,139,58,2490,276.45,278.45,0,0,217,257.0,Dine-in,Weekend,Lunch,206,40.0
1000039,85,137,1878,195.94,290.03,1,1,836,1012.72,Delivery,Weekday,Dinner,841,141.38
1000040,141,34,1543,482.09,483.09,0,0,54,60.92,Dine-in,Weekday,Breakfast,51,6.92
1000041,97,101,1311,136.77,208.61,0,0,96,105.63,Buffet,Weekend,Lunch,98,11.56
1000042,105,11,1558,678.03,678.03,0,0,81,88.24,Buffet,Weekend,Breakfast,88,8.69
1000043,40,29,2139,289.06,291.06,0,0,55,60.79,Delivery,Weekday,Dinner,56,4.63
1000044,120,124,1558,698.43,699.43,0,0,54,65.58,Buffet,Weekday,Lunch,49,13.9
1000045,100,153,2664,299.73,301.73,0,0,445,486.17,Dine-in,Weekday,Dinner,445,41.17
1000046,86,143,1109,294.88,294.88,0,0,176,218.97,Dine-in,Weekday,Lunch,172,42.97
1000047,64,129,2631,152.35,152.35,0,0,80,90.59,Dine-in,Weekday,Lunch,86,10.59
1000048,42,73,2867,629.53,630.53,0,0,27,31.44,Dine-in,Weekend,Lunch,25,4.44
1000049,31,124,2492,291.0,387.03,0,1,14,16.8,Buffet,Weekday,Breakfast,13,3.36
1000051,93,76,1311,160.05,319.13,0,0,135,142.37,Buffet,Weekday,Dinner,130,8.84
1000052,86,126,1558,498.64,678.03,0,0,216,242.72,Dine-in,Weekday,Lunch,229,26.72
1000053,64,97,2577,282.33,280.33,0,0,108,130.86,Dine-in,Weekday,Dinner,107,22.86
1000054,86,92,2826,310.43,309.43,0,0,96,109.76,Delivery,Weekday,Breakfast,94,11.01
1000055,1,59,2631,252.23,253.23,0,0,40,46.59,Delivery,Weekday,Lunch,41,5.27
1000056,133,66,2569,339.53,340.53,0,0,216,242.2,Delivery,Weekend,Breakfast,198,20.96
1000057,144,55,1311,180.42,226.01,0,0,203,241.11,Buffet,Weekday,Dinner,200,45.73
1000058,51,153,2577,282.33,280.33,0,0,42,45.56,Dine-in,Weekday,Lunch,39,3.56
1000059,5,26,1216,418.13,418.13,0,0,15,16.49,Dine-in,Weekday,Dinner,16,1.49
1000060,98,89,1248,154.26,154.26,0,0,15,18.61,Dine-in,Weekend,Breakfast,14,3.61
1000061,135,52,1727,321.07,465.63,1,1,2186,2718.33,Dine-in,Weekday,Dinner,2058,532.33
1000062,7,50,1062,159.11,160.11,0,0,350,376.65,Dine-in,Weekend,Dinner,332,26.65
1000063,94,89,1778,160.05,161.05,0,0,661,742.32,Dine-in,Weekday,Lunch,656,81.32
1000064,78,13,1525,291.06,289.06,0,0,474,576.67,Dine-in,Weekday,Dinner,478,102.67
1000065,9,80,1770,485.03,484.03,0,0,14,15.41,Dine-in,Weekday,Breakfast,15,1.41
1000066,118,50,1727,447.23,446.23,0,0,337,357.37,Delivery,Weekend,Lunch,365,16.3
1000067,1,58,1962,583.03,610.13,1,1,229,262.36,Buffet,Weekday,Dinner,235,40.03
1000068,26,129,1247,485.03,486.03,0,0,41,44.53,Dine-in,Weekday,Dinner,40,3.53
1000069,73,53,1543,388.03,486.03,0,0,27,29.49,Buffet,Weekday,Breakfast,29,2.99
1000070,113,80,1525,241.53,241.53,0,1,123,133.49,Buffet,Weekday,Breakfast,132,12.59
1000071,8,26,2306,259.99,242.5,1,0,14,15.91,Delivery,Weekday,Dinner,14,1.53
1000072,32,109,1770,436.53,484.03,0,0,27,29.22,Buffet,Weekday,Lunch,27,2.66
1000073,122,81,2139,291.03,290.03,0,0,42,46.95,Dine-in,Weekday,Dinner,46,4.95
1000074,21,39,2707,225.07,225.07,0,0,121,133.81,Buffet,Weekend,Breakfast,125,15.37
1000075,83,99,2664,306.52,308.52,0,0,472,549.31,Buffet,Weekend,Dinner,431,92.77
1000076,28,110,1962,640.23,641.23,0,0,150,175.17,Buffet,Weekend,Dinner,140,30.2
1000078,33,39,1445,596.58,709.13,0,0,53,59.15,Dine-in,Weekday,Lunch,57,6.15
1000079,107,186,2290,247.38,248.38,0,0,474,548.14,Buffet,Weekday,Dinner,484,88.97
1000080,107,30,1778,163.02,161.02,0,0,487,542.7,Dine-in,Weekday,Lunch,462,55.7
1000081,130,106,2577,282.33,281.33,0,0,14,16.37,Dine-in,Weekday,Lunch,12,2.37
1000082,104,43,1571,582.03,581.03,0,0,14,14.98,Dine-in,Weekend,Dinner,14,0.98
1000083,92,75,1971,194.03,321.07,1,1,1027,1212.53,Dine-in,Weekday,Breakfast,1050,185.53
1000084,31,23,2664,334.71,332.71,0,0,446,512.45,Delivery,Weekday,Breakfast,437,53.16
1000086,132,146,1248,154.26,155.26,0,0,67,72.89,Dine-in,Weekend,Dinner,67,5.89
1000087,56,51,1558,678.03,679.03,0,0,95,118.16,Buffet,Weekend,Breakfast,90,27.79
1000088,124,72,2494,194.0,194.0,0,0,26,28.86,Delivery,Weekday,Lunch,23,2.29
1000089,65,106,1109,255.11,297.79,0,0,458,482.53,Dine-in,Weekday,Breakfast,472,24.53
1000090,28,59,1878,282.33,280.33,0,0,68,79.13,Dine-in,Weekend,Lunch,73,11.13
1000091,134,17,2304,483.09,469.51,0,1,109,128.34,Buffet,Weekday,Lunch,114,23.21
1000092,110,17,2760,241.53,243.53,0,0,107,119.15,Dine-in,Weekday,Dinner,108,12.15
1000093,59,73,1971,289.06,291.06,0,0,351,402.95,Delivery,Weekday,Dinner,335,41.56
1000094,98,110,2577,280.33,280.33,0,0,40,49.92,Delivery,Weekend,Breakfast,36,7.94
1000095,35,32,1207,313.31,313.31,0,0,123,135.35,Delivery,Weekend,Dinner,118,9.88
1000096,97,67,2290,286.18,287.18,0,0,447,555.34,Dine-in,Weekend,Breakfast,435,108.34
1000097,119,126,1247,445.23,447.23,0,1,14,16.16,Delivery,Weekend,Breakfast,13,1.73
1000098,55,110,1770,387.03,485.03,0,0,15,17.78,Dine-in,Weekend,Lunch,15,2.78
1000099,127,52,1311,183.36,184.36,0,0,528,582.37,Buffet,Weekday,Dinner,550,65.24
1000101,67,64,1778,168.78,170.78,0,0,161,199.52,Delivery,Weekday,Dinner,168,30.82
1000102,140,94,2631,97.03,154.26,0,0,107,117.87,Dine-in,Weekend,Breakfast,106,10.87
1000103,113,99,1962,466.63,697.43,1,0,1390,1571.18,Dine-in,Weekday,Breakfast,1496,181.18
1000104,65,129,1525,242.53,291.03,0,0,95,117.69,Dine-in,Weekday,Dinner,92,22.69
1000106,135,75,2539,97.97,121.28,0,0,109,126.1,Dine-in,Weekday,Dinner,111,17.1
1000107,19,75,2306,220.25,340.53,0,0,217,263.78,Delivery,Weekday,Breakfast,232,37.42
1000108,69,14,1543,486.03,485.03,0,0,40,48.7,Buffet,Weekend,Lunch,43,10.44
1000109,106,51,1962,679.03,680.03,0,0,285,326.58,Dine-in,Weekday,Breakfast,290,41.58
1000110,139,11,1971,327.86,329.86,0,0,364,384.44,Buffet,Weekend,Dinner,357,24.53
1000111,94,75,2490,200.85,243.5,1,1,392,448.84,Dine-in,Weekday,Dinner,374,56.84
1000112,36,50,2290,303.64,302.64,0,0,595,725.34,Dine-in,Weekday,Dinner,584,130.34
1000113,113,124,2494,243.5,242.5,0,0,14,15.77,Dine-in,Weekday,Lunch,13,1.77
1000114,82,186,2640,280.33,280.33,0,0,81,90.58,Dine-in,Weekday,Dinner,83,9.58
1000115,119,76,1885,150.35,150.35,0,0,662,724.21,Dine-in,Weekend,Dinner,657,62.21
1000117,133,58,2126,427.8,428.8,0,0,27,32.59,Buffet,Weekend,Dinner,29,6.71
1000118,75,41,1885,145.5,147.5,0,0,68,72.0,Dine-in,Weekday,Lunch,65,4.0
1000120,47,30,1971,248.38,311.4,0,0,528,572.71,Buffet,Weekday,Lunch,567,53.65
1000122,67,81,2640,280.33,281.33,0,0,121,127.6,Dine-in,Weekday,Breakfast,121,6.6
1000123,102,52,2306,349.26,347.26,0,0,26,28.09,Buffet,Weekday,Lunch,24,2.51
1000124,47,124,2539,146.53,145.53,0,0,134,159.61,Buffet,Weekday,Lunch,144,30.73
1000125,37,17,1543,485.03,484.03,0,0,28,32.36,Buffet,Weekday,Breakfast,26,5.23
1000126,6,65,1207,321.13,320.13,0,0,204,224.43,Delivery,Weekend,Dinner,214,16.34
1000128,115,39,1248,145.5,145.5,0,0,28,32.31,Buffet,Weekday,Dinner,30,5.17
1000129,10,143,1543,503.43,504.43,0,0,80,93.23,Buffet,Weekday,Lunch,81,15.88
1000131,84,23,2664,304.64,302.64,0,0,365,411.55,Dine-in,Weekend,Dinner,347,46.55
1000132,75,14,2760,243.53,243.53,0,0,94,112.5,Delivery,Weekday,Lunch,87,14.8
1000133,37,91,1727,445.23,447.23,0,0,40,49.48,Buffet,Weekday,Lunch,39,11.38
1000134,116,99,1962,462.69,698.43,1,0,892,1014.78,Dine-in,Weekday,Lunch,949,122.78
1000135,95,51,2306,349.26,348.26,0,0,41,44.84,Delivery,Weekday,Lunch,44,3.07
1000136,22,29,1558,639.23,639.23,0,0,108,129.86,Dine-in,Weekday,Lunch,104,21.86
1000137,64,174,2577,290.03,292.03,0,0,242,292.89,Delivery,Weekday,Lunch,221,40.71
1000138,113,66,2707,185.3,186.3,0,0,555,674.86,Dine-in,Weekday,Dinner,539,119.86
1000139,12,72,1558,533.53,581.03,1,0,82,100.97,Dine-in,Weekday,Breakfast,84,18.97
1000140,64,26,1885,119.37,119.37,0,0,283,341.67,Buffet,Weekday,Dinner,276,70.4
1000141,139,36,1778,185.27,187.27,0,0,622,754.04,Dine-in,Weekend,Lunch,648,132.04
1000142,90,29,2569,310.43,311.43,0,0,393,462.84,Delivery,Weekend,Dinner,375,55.87
1000143,114,74,1571,581.03,582.03,0,0,14,16.16,Buffet,Weekday,Breakfast,13,2.59
1000144,133,104,2304,479.24,479.24,0,0,42,50.44,Dine-in,Weekend,Lunch,41,8.44
1000145,35,110,2707,223.16,223.16,0,0,392,482.3,Dine-in,Weekend,Lunch,393,90.3
1000146,110,64,2322,322.1,291.03,0,1,136,165.99,Dine-in,Weekday,Breakfast,148,29.99
1000147,96,67,1062,160.05,160.05,0,0,593,717.89,Dine-in,Weekday,Lunch,580,124.89
1000148,143,10,1885,151.38,149.38,0,0,1986,2285.38,Dine-in,Weekday,Dinner,1902,299.38
1000149,48,149,2322,323.98,324.98,0,0,109,115.55,Delivery,Weekend,Lunch,108,5.24
1000150,70,99,1571,631.53,630.53,0,0,54,67.21,Dine-in,Weekend,Breakfast,59,13.21
1000151,80,73,1109,292.0,291.0,0,0,310,387.15,Delivery,Weekday,Dinner,313,61.72
1000153,107,139,2126,509.31,508.31,0,0,68,74.01,Buffet,Weekday,Dinner,73,7.21
1000154,21,161,1248,253.2,252.2,0,0,40,47.84,Buffet,Weekend,Breakfast,41,9.41
1000155,68,30,2664,321.13,319.13,0,0,258,275.75,Dine-in,Weekday,Breakfast,278,17.75
1000156,55,109,2492,387.03,388.03,0,1,27,28.85,Dine-in,Weekend,Lunch,27,1.85
1000157,73,55,2490,252.2,252.2,0,0,150,181.41,Dine-in,Weekday,Lunch,144,31.41
1000158,56,153,2444,618.86,619.86,0,0,161,171.79,Buffet,Weekend,Lunch,162,12.95
1000159,54,101,2290,281.33,281.33,0,0,648,694.77,Buffet,Weekday,Dinner,627,56.12
1000160,135,64,2490,290.03,292.03,0,0,107,122.77,Dine-in,Weekday,Lunch,102,15.77
1000161,15,106,2492,447.23,447.23,0,0,41,50.58,Buffet,Weekday,Breakfast,39,11.5
1000163,129,162,2304,468.51,468.51,0,0,40,45.41,Buffet,Weekday,Breakfast,36,6.49
1000165,82,81,2826,309.43,311.43,0,0,352,438.51,Buffet,Weekday,Dinner,380,103.81
1000166,32,83,2290,283.24,284.24,0,0,946,995.14,Buffet,Weekday,Dinner,963,58.97
1000167,10,143,1885,119.37,122.28,0,1,364,430.66,Dine-in,Weekday,Breakfast,341,66.66
1000168,14,39,2760,190.18,233.83,0,0,82,88.87,Dine-in,Weekend,Lunch,81,6.87
1000169,78,145,1778,180.48,179.48,0,0,188,216.22,Delivery,Weekday,Dinner,202,22.58
1000170,44,77,2322,287.15,288.15,0,0,175,208.92,Buffet,Weekday,Breakfast,183,40.7
1000171,104,186,2492,446.23,446.23,0,0,15,18.51,Buffet,Weekend,Lunch,15,4.21
1000172,51,75,1962,640.23,639.23,0,0,270,304.13,Buffet,Weekday,Dinner,272,40.96
1000173,63,93,1445,629.53,708.13,0,0,53,63.37,Dine-in,Weekend,Dinner,48,10.37
1000174,103,83,1247,445.23,445.23,0,0,80,96.44,Delivery,Weekday,Breakfast,85,13.15
1000175,136,55,1198,195.03,228.01,0,0,96,119.12,Dine-in,Weekday,Lunch,93,23.12
1000176,121,76,1971,192.06,323.04,1,1,1201,1382.37,Dine-in,Weekday,Breakfast,1248,181.37
1000177,111,50,1207,313.34,313.37,1,0,150,186.01,Dine-in,Weekend,Dinner,135,36.01
1000178,104,137,2956,581.03,581.03,0,0,96,109.85,Dine-in,Weekend,Dinner,103,13.85
1000179,127,76,1109,266.75,317.19,0,0,393,445.63,Dine-in,Weekday,Lunch,372,52.63
1000180,116,126,1216,417.13,417.13,0,0,42,47.09,Buffet,Weekday,Breakfast,44,6.11
1000181,112,129,1248,143.59,144.59,0,0,40,48.87,Delivery,Weekend,Dinner,38,7.1
1000182,134,11,1727,466.63,466.63,0,0,635,720.53,Dine-in,Weekday,Breakfast,586,85.53
1000183,87,104,2306,243.5,348.26,0,1,161,195.27,Dine-in,Weekday,Lunch,163,34.27
1000185,12,64,2581,533.53,583.03,1,0,149,163.53,Buffet,Weekday,Dinner,139,17.44
1000186,98,145,2707,187.27,187.27,0,0,350,414.88,Dine-in,Weekend,Dinner,356,64.88
1000188,130,137,1543,469.51,468.51,0,0,82,89.32,Buffet,Weekday,Breakfast,85,8.78
1000189,15,161,1962,640.23,641.23,0,0,149,157.15,Dine-in,Weekday,Lunch,143,8.15
1000190,57,89,2304,388.03,463.72,0,0,82,93.37,Dine-in,Weekday,Dinner,75,11.37
1000191,140,26,1525,320.13,320.13,0,0,14,15.57,Dine-in,Weekend,Lunch,15,1.57
1000192,110,132,1727,438.5,438.5,0,0,350,375.65,Delivery,Weekday,Lunch,375,20.52
1000193,8,17,1885,144.53,144.53,0,0,540,645.66,Dine-in,Weekday,Dinner,499,105.66
1000194,82,149,1754,310.43,309.43,0,0,81,91.86,Dine-in,Weekday,Lunch,85,10.86
1000195,65,64,2322,325.01,323.01,0,0,148,180.77,Dine-in,Weekday,Breakfast,144,32.77
1000196,37,30,1803,178.51,214.43,0,1,121,147.35,Buffet,Weekday,Dinner,121,31.62
1000197,92,23,1207,321.07,388.0,0,0,177,204.49,Dine-in,Weekday,Lunch,172,27.49
1000198,135,77,1993,96.03,122.28,0,0,161,176.57,Dine-in,Weekday,Lunch,165,15.57
1000199,122,32,2126,427.8,508.31,0,0,96,102.63,Delivery,Weekday,Dinner,88,5.3
1000200,5,99,1727,240.56,445.23,0,0,2875,3456.64,Dine-in,Weekday,Dinner,2824,581.64
1000201,88,36,2139,298.82,297.82,0,0,80,86.89,Buffet,Weekday,Dinner,75,8.27
1000202,106,32,1727,403.55,404.55,0,0,242,296.63,Dine-in,Weekday,Dinner,265,54.63
1000203,95,81,1248,155.26,155.26,0,0,41,49.56,Delivery,Weekday,Lunch,41,6.85
1000204,46,81,1109,224.1,281.36,1,0,675,841.56,Dine-in,Weekday,Dinner,662,166.56
1000205,76,59,2956,581.03,581.03,0,0,55,60.75,Buffet,Weekend,Dinner,50,6.9
1000206,93,126,1727,445.23,446.23,0,0,296,343.24,Dine-in,Weekday,Dinner,299,47.24
1000207,55,51,2444,619.86,619.86,0,0,96,113.81,Delivery,Weekend,Dinner,90,14.25
1000208,77,68,2492,445.23,445.23,0,0,69,80.19,Dine-in,Weekend,Lunch,71,11.19
1000209,20,83,2569,328.89,326.89,0,0,230,280.38,Dine-in,Weekend,Lunch,213,50.38
1000210,31,34,1971,289.06,289.06,0,0,297,347.81,Dine-in,Weekday,Lunch,274,50.81
1000211,112,109,2577,292.03,292.03,0,0,42,48.43,Delivery,Weekend,Lunch,45,5.14
1000212,59,129,2956,631.53,630.53,0,0,27,32.31,Dine-in,Weekday,Dinner,26,5.31
1000214,38,23,1248,154.26,154.26,0,0,81,94.6,Delivery,Weekday,Dinner,73,10.88
1000215,108,13,2577,213.46,290.03,1,0,553,681.43,Dine-in,Weekday,Dinner,556,128.43
1000216,36,106,2569,328.89,326.89,0,0,230,259.22,Dine-in,Weekday,Dinner,227,29.22
1000217,105,67,2867,669.33,669.33,0,0,41,48.11,Buffet,Weekend,Dinner,43,8.53
1000218,82,110,1902,447.23,446.23,0,0,13,15.66,Buffet,Weekday,Lunch,13,3.19
1000219,3,81,2322,321.07,322.1,0,1,433,539.94,Delivery,Weekday,Dinner,410,85.55
1000220,121,110,2826,326.92,326.92,0,0,377,415.0,Buffet,Weekday,Dinner,361,45.6
1000221,94,64,2707,186.24,186.27,1,0,391,448.12,Dine-in,Weekday,Lunch,365,57.12
1000222,34,143,1543,387.03,505.43,0,0,67,78.65,Dine-in,Weekend,Breakfast,60,11.65
1000223,45,177,1207,315.31,313.31,0,0,324,396.36,Dine-in,Weekday,Lunch,349,72.36
1000224,100,104,1109,234.74,304.58,0,0,445,485.75,Dine-in,Weekday,Dinner,448,40.75
1000225,59,129,1216,435.53,437.53,0,0,53,57.57,Delivery,Weekday,Dinner,57,3.66
1000226,60,32,2306,316.25,359.93,0,0,15,17.78,Dine-in,Weekday,Lunch,13,2.78
1000227,135,66,1230,366.72,365.72,0,0,149,179.94,Dine-in,Weekday,Breakfast,143,30.94
1000228,142,93,2492,445.23,446.23,0,0,14,15.03,Buffet,Weekday,Dinner,13,1.24
1000229,47,75,1971,244.5,311.43,1,0,419,493.87,Buffet,Weekday,Lunch,405,89.84
1000230,125,17,2306,241.53,337.62,0,0,123,136.54,Buffet,Weekend,Lunch,120,16.25
1000231,17,57,2631,96.03,260.93,0,0,13,15.42,Dine-in,Weekday,Dinner,13,2.42
1000232,82,93,1902,445.23,445.23,0,0,15,17.3,Dine-in,Weekday,Lunch,15,2.3
1000234,8,108,1847,243.5,243.5,0,0,27,28.92,Buffet,Weekday,Breakfast,29,2.3
1000235,138,104,1770,486.03,486.03,0,0,26,28.03,Dine-in,Weekday,Dinner,28,2.03
1000236,116,61,1885,96.03,97.03,0,0,162,176.45,Buffet,Weekday,Lunch,150,17.34
1000238,74,177,2492,446.23,446.23,0,0,14,17.4,Dine-in,Weekday,Lunch,13,3.4
1000240,142,143,2640,321.13,321.13,0,0,134,148.36,Buffet,Weekday,Dinner,128,17.23
1000241,120,72,2631,154.26,153.26,0,0,68,79.29,Delivery,Weekday,Lunch,69,9.03
1000242,129,32,2126,428.8,508.31,0,0,54,66.89,Dine-in,Weekday,Lunch,49,12.89
1000243,101,42,1993,121.31,120.31,0,0,445,485.12,Dine-in,Weekday,Lunch,410,40.12
1000244,64,143,1902,445.23,445.23,0,0,40,46.88,Buffet,Weekday,Breakfast,36,8.26
1000245,137,43,2322,383.21,381.21,0,0,431,495.33,Dine-in,Weekday,Dinner,420,64.33
1000246,144,126,2577,320.13,321.13,0,0,55,61.43,Dine-in,Weekday,Lunch,57,6.43
1000247,34,50,1778,159.08,161.08,0,0,270,333.49,Dine-in,Weekend,Lunch,292,63.49
1000248,129,145,2867,765.33,767.33,0,0,13,16.05,Dine-in,Weekday,Lunch,14,3.05
1000249,111,17,2494,242.5,243.5,0,0,13,14.49,Buffet,Weekend,Breakfast,11,1.79
1000250,111,20,1207,315.25,514.13,1,0,148,162.21,Dine-in,Weekend,Dinner,141,14.21
1000251,126,157,2306,338.53,340.53,0,1,15,18.22,Delivery,Weekend,Lunch,13,2.58
1000252,80,104,1971,309.43,311.43,0,0,284,307.66,Dine-in,Weekday,Lunch,283,23.66
1000253,48,124,1885,122.25,143.59,0,0,567,636.81,Dine-in,Weekend,Breakfast,566,69.81
1000254,32,110,1230,315.31,314.31,0,0,338,399.26,Dine-in,Weekday,Lunch,367,61.26
1000255,70,89,2494,233.83,232.83,0,0,81,93.31,Dine-in,Weekend,Dinner,75,12.31
1000256,88,14,2569,314.28,363.81,0,0,55,64.07,Delivery,Weekday,Dinner,58,7.26
1000257,57,30,2322,462.69,463.69,0,0,297,328.22,Dine-in,Weekday,Lunch,320,31.22
1000258,31,88,2631,153.32,260.93,0,1,135,144.92,Dine-in,Weekday,Dinner,134,9.92
1000260,22,58,1962,639.23,640.23,0,0,109,124.71,Dine-in,Weekday,Lunch,114,15.71
1000262,42,10,2867,620.86,618.86,0,0,162,202.16,Buffet,Weekend,Dinner,172,48.19
1000263,97,55,2867,670.33,669.33,0,0,40,43.77,Dine-in,Weekend,Breakfast,36,3.77
1000265,119,23,1847,194.0,242.5,0,1,122,146.47,Buffet,Weekend,Dinner,119,29.36
1000266,13,76,1062,183.33,183.33,0,0,256,269.81,Dine-in,Weekend,Dinner,278,13.81
1000267,8,50,1558,615.95,617.95,0,0,107,123.75,Dine-in,Weekday,Breakfast,103,16.75
1000268,124,145,1558,513.19,660.63,0,0,41,48.69,Buffet,Weekday,Dinner,44,9.23
1000269,42,65,2490,244.5,244.5,1,1,1176,1271.15,Buffet,Weekend,Lunch,1254,114.18
1000270,106,30,1885,145.53,146.53,0,0,932,1084.08,Buffet,Weekday,Lunch,863,182.5
1000272,130,177,1109,224.1,303.67,1,1,1797,1946.44,Dine-in,Weekday,Lunch,1899,149.44
1000273,46,113,2126,435.59,552.93,0,0,55,61.11,Delivery,Weekday,Breakfast,51,4.89
1000274,109,10,1216,340.5,388.03,0,0,96,106.18,Dine-in,Weekday,Breakfast,103,10.18
1000275,105,39,2867,709.13,709.13,0,0,14,15.71,Delivery,Weekend,Dinner,13,1.37
1000276,12,99,1216,407.43,455.93,0,0,28,34.76,Dine-in,Weekday,Breakfast,28,6.76
1000277,95,89,2867,436.56,670.33,1,1,257,273.85,Buffet,Weekday,Lunch,268,20.22
1000278,135,17,1993,150.35,150.35,0,0,107,120.69,Dine-in,Weekday,Lunch,108,13.69
1000279,109,51,1778,181.45,181.45,0,0,744,879.37,Delivery,Weekday,Dinner,672,108.3
1000280,74,59,1962,680.03,679.03,0,0,163,187.65,Dine-in,Weekday,Breakfast,166,24.65
1000281,92,88,1525,290.03,290.03,0,0,40,44.22,Dine-in,Weekday,Dinner,39,4.22
1000282,131,106,2826,325.92,327.92,0,0,528,607.36,Buffet,Weekday,Lunch,559,95.23
1000283,92,26,2139,292.03,290.03,0,0,42,51.89,Dine-in,Weekday,Dinner,43,9.89
1000284,121,97,2631,92.15,155.26,1,0,80,97.15,Delivery,Weekday,Dinner,79,13.72
1000285,135,39,2569,332.71,333.71,0,0,837,985.98,Dine-in,Weekday,Lunch,911,148.98
1000286,106,10,1902,388.03,447.23,0,0,121,149.28,Delivery,Weekday,Dinner,131,22.62
1000287,141,146,1062,167.84,168.84,0,0,393,458.89,Buffet,Weekday,Lunch,426,79.07
1000288,66,59,2956,630.53,631.53,0,0,14,16.25,Dine-in,Weekday,Dinner,13,2.25
1000289,101,137,2760,222.13,224.13,0,0,366,439.05,Dine-in,Weekday,Lunch,335,73.05
1000290,34,59,1062,162.05,183.36,0,0,636,682.14,Buffet,Weekend,Lunch,643,55.37
1000291,143,53,2290,298.79,299.79,0,0,499,617.02,Delivery,Weekday,Dinner,543,94.42
1000292,58,50,2631,146.5,146.5,0,0,80,91.57,Dine-in,Weekday,Dinner,78,11.57
1000293,91,57,2707,185.27,223.1,0,0,311,358.23,Buffet,Weekend,Breakfast,284,56.68
1000294,47,57,1230,322.07,321.07,0,0,161,185.92,Dine-in,Weekday,Lunch,170,24.92
1000295,69,80,2760,241.53,242.53,0,0,28,32.08,Dine-in,Weekend,Dinner,28,4.08
